item_id,feature
4303163,romance
192805,graphic
17307329,history
36239248,young-adult
23167683,comics
48100,crime
27423576,crime
1171422,historical-fiction
7932435,historical-fiction
342923,fiction
12671440,paranormal
6996594,young-adult
8227541,historical-fiction
18409574,non-fiction
17760231,children
24714638,paranormal
25066792,graphic
8056216,history
21844561,crime
14311053,romance
31132782,fiction
128456,historical-fiction
424796,historical-fiction
31396255,romance
541225,history
407317,history
548118,graphic
35435368,romance
12645188,historical-fiction
9685417,young-adult
20803840,non-fiction
9794563,poetry
1812907,paranormal
10562194,fiction
15100879,young-adult
19302543,historical-fiction
33442,romance
3570687,paranormal
24972822,fiction
23403242,young-adult
25011259,fiction
18376058,historical-fiction
28695774,historical-fiction
9788928,crime
7893824,historical-fiction
10889419,graphic
15944999,crime
1193743,historical-fiction
8906588,history
29410461,historical-fiction
31842679,historical-fiction
23472048,romance
18711268,historical-fiction
9813754,paranormal
808963,graphic
35097720,crime
8480543,fiction
24357287,young-adult
1474610,paranormal
20808540,fiction
158951,historical-fiction
34541,graphic
6610423,mystery
3515304,paranormal
32869967,romance
23010500,young-adult
708268,history
6789762,romance
24384024,crime
1033540,fiction
53236,young-adult
6738624,young-adult
2117354,young-adult
17356762,historical-fiction
33869583,romance
267351,historical-fiction
16587763,fiction
24885498,children
1744719,fiction
27168415,graphic
18740399,romance
6088258,fiction
8110878,history
29992007,crime
8129187,young-adult
12963161,historical-fiction
872337,fiction
20611489,paranormal
176878,young-adult
18337353,young-adult
6739737,young-adult
92491,young-adult
20256581,historical-fiction
355383,historical-fiction
310986,young-adult
6521399,romance
17789876,romance
6772123,fiction
25639979,crime
24087,young-adult
18858491,children
5600950,romance
1298922,historical-fiction
185964,crime
11413845,historical-fiction
13624056,young-adult
8694514,romance
8388623,historical-fiction
72766,historical-fiction
662318,fiction
935728,non-fiction
25482391,romance
6509401,historical-fiction
9523622,paranormal
17266864,paranormal
122175,mystery
27804672,paranormal
23391690,romance
1050427,historical-fiction
3261082,history
28585718,fiction
3432009,romance
32801213,romance
31820682,young-adult
1627740,fiction
25986876,romance
20628038,romance
104260,romance
16071770,young-adult
55694,history
5213568,fiction
6734757,graphic
29724082,paranormal
1241996,young-adult
8664143,non-fiction
383269,history
18078033,young-adult
26009025,graphic
24595845,crime
10954617,mystery
582004,non-fiction
23494732,romance
35281717,young-adult
19104164,fiction
26808717,fiction
20549525,romance
7543670,young-adult
109378,historical-fiction
2889849,fiction
15772433,fiction
6490389,young-adult
17668078,romance
28270797,fiction
25287244,fantasy
9277358,paranormal
941285,mystery
7593244,paranormal
567707,historical-fiction
9647205,fiction
8110443,fiction
22745068,poetry
18343295,history
1492821,children
1431373,young-adult
16113606,young-adult
19405565,fiction
6949665,young-adult
35272740,romance
463063,young-adult
18086798,young-adult
33542912,romance
128756,crime
11510207,history
20296033,romance
15791148,young-adult
22111282,history
1283274,fiction
47481,young-adult
27221110,historical-fiction
107318,historical-fiction
248217,history
16130496,romance
26137970,romance
5459187,paranormal
28267819,fiction
2777619,graphic
26045667,fiction
